ann_id,item_id
annr-01,real-test-12
annr-02,real-test-18
annr-03,real-test-05
annr-04,real-test-06
annr-05,real-test-26
annr-06,real-test-01
annr-07,real-test-03
annr-08,real-test-11
annr-09,real-test-23
annr-10,real-test-25
annr-11,real-test-16
annr-12,real-test-13
annr-13,real-test-14
annr-14,real-test-15
annr-15,real-test-20
annr-16,real-test-24
annr-17,real-test-21
annr-18,real-test-19
annr-19,real-test-04
annr-20,real-test-17
annr-21,real-test-07
annr-22,real-test-08
annr-23,real-test-22
annr-24,real-test-10
annr-25,real-test-09
annr-26,real-test-02
