ann_id,item_id,final_label,source,rationale,evidence_mode,construction_category,expected_label,agrees_with_construction
ann-01,hss-no_full_text-02,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", so no passage and no paper text were presented for it. All three sessions abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True
ann-02,hss-no_full_text-04,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", so no passage and no paper text were presented for it. All three sessions abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True
ann-03,hss-paraphrase-05,verified,unanimous,"Kim and Weng state ""Second most common strategy is classroom observation (n=17), followed by artifacts/documents ... (n=7), and focus group discussion (n=6)"", which matches every figure in the claim. The only change is students to learners, so the paper supports the claim as stated.",passage,paraphrase,verified,True
ann-04,hss-wrong_paper-03,unsupported,unanimous,"Shirvan and Talebzadeh 2020, on the signature dynamics of FLCA and FLE, contains no occurrence of PsyCap, psychological capital, Masten, optimism or persistence, and its single hit for ""Resilien"" is the reference-list title ""Resilient, overcontrolled, and undercontrolled boys: Three replicable personality types"". The paper does not address psychological capital at all, so the citation cannot support the claim; the notes by A and C, which report zero hits for resilience, are inaccurate as written, though the conclusion they draw stands.",no_match,wrong_paper,unsupported,True
ann-05,hss-paraphrase-01,verified,unanimous,"The paper reads ""There are students who simply do not know where their instructors stand (14%)"" and gives the same 12% figure for ChatGPT use not having been discussed in class. Only students becomes learners, so the paper supports the claim as stated.",passage,paraphrase,verified,True
ann-06,hss-altered-04,unsupported,unanimous,"The paper reports that ""individuals' who had higher levels of PsyCap had more levels of ideal L2-self and language learning experience"", whereas the claim asserts lower levels of PsyCap. The direction of the association is reversed, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-07,hss-altered-05,unsupported,unanimous,"The paper states that attractor states arise where ""the systems self-organize into more preferable states (Hiver, 2015; Juarrero, 1999)"", whereas the claim says less preferable states. The polarity is reversed, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-08,hss-wrong_paper-04,unsupported,unanimous,"The cited review by Kim and Weng contains no occurrence of enjoyment, anxiety, gesture, movement or nonverbal, so it says nothing about body movements signalling emotion. The cited paper does not address the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True
ann-09,hss-paraphrase-02,verified,unanimous,"The paper reads ""can improve the overall quality of L2 writing in a future study"", with the claim substituting investigation for study. The recommendation to use a holistic scale to evaluate intelligent writing assistants such as Grammarly is stated in the paper as the claim states it.",passage,paraphrase,verified,True
ann-10,hss-verbatim-01,verified,unanimous,"The paper contains the sentence ""Japanese socio-cultural environments can be restrictive or even dismissive of NESTs, resulting in ambivalence in their beliefs about their professional identities and competencies"" verbatim. The claim reproduces that sentence, so the paper supports it as stated.",passage,verbatim,verified,True
ann-11,hss-altered-08,unsupported,unanimous,"The paper reads ""yet it might make our work more interesting, engaging, and innovative"", whereas the claim renders this as less interesting, engaging, and innovative. The valence is reversed, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-12,hss-paraphrase-03,verified,unanimous,"The paper reports as its MANOVA result that ""students who have higher PsyCap are more willing to communicate in English in comparison to students with lower levels of PsyCap"". Only students becomes learners, so the paper supports the claim as stated.",passage,paraphrase,verified,True
ann-13,hss-wrong_paper-02,unsupported,unanimous,"The cited paper, on PsyCap and willingness to communicate, contains no occurrence of ""predictive text"", ""corrective feedback"", ""Frankenberg"" or even the stem ""technolog"". The cited paper does not address the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True
ann-14,hss-altered-03,unsupported,unanimous,"The paper recommends Grammarly ""as a means to increase lexical variation in their writing"", whereas the claim says decrease lexical variation. The reversal also contradicts the claim's own clause that lexical richness was enhanced, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-15,hss-verbatim-02,verified,unanimous,"The paper contains ""Empirical research is also needed to investigate students' perceptions of AI (Chan & Hu, 2023) and effective practices and models of AI implementation in English language teaching"" verbatim. The claim reproduces that sentence, so the paper supports it as stated.",passage,verbatim,verified,True
ann-16,hss-no_full_text-03,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", so no passage and no paper text were presented for it. All three sessions abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True
ann-17,hss-verbatim-04,verified,unanimous,"The paper contains ""A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA"" verbatim. The claim reproduces that sentence, so the paper supports it as stated.",passage,verbatim,verified,True
ann-18,hss-no_full_text-01,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", so no passage and no paper text were presented for it. All three sessions abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True
ann-19,hss-paraphrase-04,verified,unanimous,"The paper reads ""the narratives of one best fit candidate for each archetype are presented in the results"", with the claim substituting findings for results. That substitution renames a section and changes no reported fact, so the paper supports the claim as stated.",passage,paraphrase,verified,True
ann-20,hss-verbatim-03,verified,unanimous,"The paper contains the decisive sentence verbatim: ""In accordance with this approach, the L2 Learning Experience can be defined as the perceived quality of the learners' engagement with various aspects of the language learning process."" Annotator B's note, that the paper reads ""may be defined"" and that the claim's ""can"" merely matches the paper's ""may"", misreads the source, because the abstract carries ""may be defined"" while the body carries the exact ""can be defined"" sentence the claim copies; the label verified is unchanged.",passage,verbatim,verified,True
ann-21,hss-altered-09,unsupported,unanimous,"The paper reports that ""FLE was significantly higher with the Main Teacher"", whereas the claim says significantly lower. The direction is reversed, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-22,hss-altered-01,unsupported,adjudicated,"The paper states ""The results revealed an effect size of 0.81 which can be interpreted as a large effect of the independent variable (CL) on the dependent variable (speaking skill)"", and the string 1.62 does not occur anywhere in its cached text. The claim reports a different value for the same statistic inside the same sentence frame, which is a contradiction of the reported number rather than an overstated or unqualified version of it, so unsupported is correct and annotator C's needs_nuance understates the error.",passage,altered,unsupported|needs_nuance,True
ann-23,hss-altered-02,unsupported,adjudicated,"The paper states ""Seventeen participants (18%) reported using it to write the whole assignment for them, which is certainly a cause for concern"", and 36.1% is the paper's separate figure for ""writing a part of the assignment"". The claim attaches the paper's count of seventeen to a percentage the paper assigns to a different and incompatible category, so the cited paper contradicts the claim and unsupported is correct rather than needs_nuance.",passage,altered,unsupported|needs_nuance,True
ann-24,hss-altered-06,unsupported,unanimous,"The paper reads ""Most studies used one-on-one oral interviews with their participants"", whereas the claim says Few studies. The quantifier is reversed, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-25,hss-wrong_paper-01,unsupported,unanimous,"The cited Grammarly freewriting study contains no occurrence of ChatGPT, Seventeen or ""entire assignment"". The cited paper does not address the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True
ann-26,hss-no_full_text-05,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", so no passage and no paper text were presented for it. All three sessions abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True
ann-27,hss-altered-10,unsupported,unanimous,"The paper reports that the comparison ""showed a significant difference between the results of the experimental and control groups"", whereas the claim inserts no before significant difference. The finding is negated, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-28,hss-altered-07,unsupported,unanimous,"The paper states that ""NESTs need to expend significant cognitive labor on their socio-cultural and linguistic tasks compared to their NNEST colleagues"", whereas the claim says no significant cognitive labor. The finding is negated, so the cited paper contradicts the claim.",passage,altered,unsupported|needs_nuance,True
ann-29,hss-verbatim-05,verified,unanimous,"The paper contains ""both t-tests and effect sizes showed no significant improvements for both the experimental group and the control group"" verbatim. The claim reproduces that sentence, so the paper supports it as stated.",passage,verbatim,verified,True
ann-30,hss-wrong_paper-05,unsupported,unanimous,"The cited trioethnography describes only its own procedure, that the three authors' discussions ""were recorded and transcribed in full"", and it contains no occurrence of ""translated into English"" and no survey of interview practice across EFL studies. Annotator B's note that the paper contains no instance of transcription is inaccurate, since transcribed does occur, but the paper still does not address the claim, so unsupported stands.",no_match,wrong_paper,unsupported,True
