dataset,run,record_id,title,reason,category,notes
Nagtegaal_2019,A,1111,Interventions to improve follow-up of abnormal findings in cancer screening,Critical review of literature on follow-up interventions; not an experimental nudge study.,FN-DESIGN,
Nagtegaal_2019,A,456,Cost consequences of implementing an electronic decision support system for ordering laboratory tests in primary care: evidence from a controlled prospective study in the Netherlands,"Cost consequences of CDSS for lab tests; economic evaluation, not a nudge experiment on behaviour.",FN-DESIGN,
Nagtegaal_2019,A,374,Cluster randomised controlled trial of tailored interventions to improve the management of urinary tract infections in women and sore throat.,"Cluster RCT of tailored guideline implementation, but not a nudge intervention per taxonomy.",FN-DEF,
Nagtegaal_2019,A,1947,Use of a computerized guideline for glucose regulation in the intensive care unit improved both guideline adherence and glucose regulation.,"Computerized guideline is decision support, not a nudge/soft steering intervention per taxonomy.",FN-DEF,
Nagtegaal_2019,A,810,Feedback as a strategy to change behaviour: the devil is in the details,"Conceptual paper on audit and feedback components, not an experimental nudge study.",FN-DESIGN,
Nagtegaal_2019,A,698,Electronic human immunodeficiency virus (HIV) clinical reminder system improves adherence to practice guidelines among the University of Washington HIV study cohort.,"Prospective study of electronic reminder system, not classified as nudge experiment.",FN-DEF,
Nagtegaal_2019,A,800,Fall prevention in acute care hospitals: a randomized trial.,"Fall prevention toolkit trial targeting patients, not nudges for professionals' EBM behaviour.",FN-POP,
Nagtegaal_2019,A,872,Guidelines in professions allied to medicine,"Cochrane review of clinical practice guideline effects; systematic review, not experiment on nudges.",FN-DESIGN,
Nagtegaal_2019,A,697,Electronic health records for intervention research: a cluster randomized trial to reduce antibiotic prescribing in primary care (eCRT Study),"Cluster RCT on decision support for antibiotic prescribing, but no evidence of nudge framing.",FN-DEF,
Nagtegaal_2019,A,763,Evaluation of an Internet-based decision-support system for applying the ATS/CDC guidelines for tuberculosis preventive therapy.,"Decision-support system for TB guidelines; unclear if nudge taxonomy applies, likely clinical decision support.",FN-DEF,
Nagtegaal_2019,A,1373,Pharmacy Asthma Care Program (PACP) improves outcomes for patients in the community.,"Pharmacy asthma program for patients; targets patient outcomes, not nudges on professionals' evidence-based behaviour.",FN-POP,
