ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on
ann-01,The emergence of ChatGPT and AI tools will undeniably continue to impact change education in ways in which we cannot yet foresee.,"Exploring Applications of ChatGPT to English Language Teaching: Opportunities, Challenges, and Recommendations",10.55593/ej.27107int,"Kostka & Toncelli, 2023",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",Claude Opus annotator C (round 2),2026-09-05
ann-02,An analysis of the values showed that all participants spent some time in the high anxiety zone and that most also had moments in the low anxiety zone.,Are foreign language learners’ enjoyment and anxiety specific to the teacher? An investigation into the dynamics of learners’ classroom emotions,10.14746/ssllt.2020.10.1.3,"Dewaele & Dewaele, 2020",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",Claude Opus annotator C (round 2),2026-09-05
ann-03,"Second most common strategy is classroom observation (n=17), followed by artifacts/documents (e.g., course syllabi, class handouts, learners‘ assignments, curricula vitae, lesson plans, and posts) (n=7), and focus group discussion (n=6).",A Systematic Review on Pedagogical Translanguaging in TESOL,10.55593/ej.26103a4,"Kim & Weng, 2022","Second most common strategy is classroom observation (n=17), followed by artifacts/documents (e.g., course syllabi, class handouts, students‘ assignments, curricula vitae, lesson plans, and posts) (n=7), and focus group discussion (n=6).",verified,high,"Paper text reads ""Second most common strategy is classroom observation (n=17), followed by artifacts/documents"", matching the claim apart from students versus learners.",Claude Opus annotator C (round 2),2026-09-05
ann-04,"Finally, the last component of PsyCap, resilience, is to a great extent associated with persistence, active participation, and adaptation (Masten & Reed, 2002), and also the academic success of resilient individuals has been found inevitable.",Tracing the signature dynamics of foreign language classroom anxiety and foreign language enjoyment: A retrodictive qualitative modeling,10.32601/ejal.710194,"SHİRVAN & TALEBZADEH, 2020",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"Searches of the cited paper return zero hits for PsyCap, psychological capital, resilience, Masten and academic success, so it does not address the claim.",Claude Opus annotator C (round 2),2026-09-05
ann-05,There are learners who simply do not know where their instructors stand (14%) as well as those who state that ChatGPT use has not been discussed in class (12%).,Writing with AI: University Students’ Use of ChatGPT,10.17323/jle.2023.17379,"Črček & Patekar, 2023",There are students who simply do not know where their instructors stand (14%) as well as those who state that ChatGPT use has not been discussed in class (12%).,verified,high,"Passage reads ""There are students who simply do not know where their instructors stand (14%)"", identical to the claim apart from students versus learners.",Claude Opus annotator C (round 2),2026-09-05
ann-06,"Then, results showed that individuals’ who had lower levels of PsyCap had more levels of ideal L2-self and language learning experience, while no difference was found in their ought-to L2-self.","The Role of Psychological Capital in Language Learners’ Willingness to Communicate, Motivation, and Achievement",10.32601/ejal.651346,"Khajavy et al., 2019","Then, results showed that individuals’ who had higher levels of PsyCap had more levels of ideal L2-self and language learning experience, while no difference was found in their ought-to L2-self.",unsupported,high,"Paper says individuals with ""higher levels of PsyCap had more levels of ideal L2-self"", reversing the claim's ""lower levels of PsyCap"".",Claude Opus annotator C (round 2),2026-09-05
ann-07,"Attractor states are in fact the result of self-organization where the systems self-organize into less preferable states (Hiver, 2015; Juarrero, 1999).",Tracing the signature dynamics of foreign language classroom anxiety and foreign language enjoyment: A retrodictive qualitative modeling,10.32601/ejal.710194,"SHİRVAN & TALEBZADEH, 2020","Attractor states are in fact the result of self-organization where the systems self-organize into more preferable states (Hiver, 2015; Juarrero, 1999).",unsupported,high,"Paper says systems ""self-organize into more preferable states"", the opposite of the claim's ""less preferable states"".",Claude Opus annotator C (round 2),2026-09-05
ann-08,"For example, prompt movements of body by some learners can signal enjoyment while, used by some others, they might indicate anxiety.",A Systematic Review on Pedagogical Translanguaging in TESOL,10.55593/ej.26103a4,"Kim & Weng, 2022",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"The cited review contains no occurrence of enjoyment, anxiety, gestures or body movements, so it does not address the claim at all.",Claude Opus annotator C (round 2),2026-09-05
ann-09,"Because of this, researchers could utilize a holistic scale to evaluate whether or not intelligent writing assistants such as Grammarly can improve the overall quality of L2 writing in a future investigation.",Examining the impact of Grammarly on the quality of mobile L2 writing,10.29140/jaltcall.v17n2.336,"Dizon & Gayed, 2021","Because of this, researchers could utilize a holistic scale to evaluate whether or not intelligent writing assistants such as Grammarly can improve the overall quality of L2 writing in a future study.",verified,high,"Passage reads ""researchers could utilize a holistic scale to evaluate whether or not intelligent writing assistants such as Grammarly"", only study versus investigation differs.",Claude Opus annotator C (round 2),2026-09-05
ann-10,"Second, Matt and Joachim’s narratives suggest that Japanese socio-cultural environments can be restrictive or even dismissive of NESTs, resulting in ambivalence in their beliefs about their professional identities and competencies.",Shifting from Native-Speakerism to Trans-Speakerism:  A Trioethnography of Language Teachers in Japan,10.55593/ej.27105a9,"Hiratsuka et al., 2023","Second, Matt and Joachim’s narratives suggest that Japanese socio-cultural environments can be restrictive or even dismissive of NESTs, resulting in ambivalence in their beliefs about their professional identities and competencies.",verified,high,"Passage is word for word the claim, including ""Japanese socio-cultural environments can be restrictive or even dismissive of NESTs"".",Claude Opus annotator C (round 2),2026-09-05
ann-11,"AI cannot ever replace us in these essential aspects of our work as educators, yet it might make our work less interesting, engaging, and innovative.","Exploring Applications of ChatGPT to English Language Teaching: Opportunities, Challenges, and Recommendations",10.55593/ej.27107int,"Kostka & Toncelli, 2023","AI cannot ever replace us in these essential aspects of our work as educators, yet it might make our work more interesting, engaging, and innovative.",unsupported,high,"Paper says AI ""might make our work more interesting, engaging, and innovative"", the opposite of the claim's ""less interesting"".",Claude Opus annotator C (round 2),2026-09-05
ann-12,Findings of MANOVA demonstrated that learners who have higher PsyCap are more willing to communicate in English in comparison to learners with lower levels of PsyCap.,"The Role of Psychological Capital in Language Learners’ Willingness to Communicate, Motivation, and Achievement",10.32601/ejal.651346,"Khajavy et al., 2019",Findings of MANOVA showed that students who have higher PsyCap are more willing to communicate in English in comparison to students with lower levels of PsyCap.,verified,high,"Passage reads ""students who have higher PsyCap are more willing to communicate in English"", differing only in students versus learners.",Claude Opus annotator C (round 2),2026-09-05
ann-13,"Real-time corrective feedback and predictive text are two technologies that have received very little attention in L2 research (Frankenberg-Garcia, 2019).","The Role of Psychological Capital in Language Learners’ Willingness to Communicate, Motivation, and Achievement",10.32601/ejal.651346,"Khajavy et al., 2019",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"The cited PsyCap paper has no hits for ""corrective feedback"", ""predictive text"" or ""Frankenberg"", so the citation does not address the claim.",Claude Opus annotator C (round 2),2026-09-05
ann-14,"In addition, Grammarly could be recommended to L2 students as a means to decrease lexical variation in their writing, as this study’s findings illustrate that lexical richness was enhanced in the Grammarly condition.",Examining the impact of Grammarly on the quality of mobile L2 writing,10.29140/jaltcall.v17n2.336,"Dizon & Gayed, 2021","In addition, Grammarly could be recommended to L2 students as a means to increase lexical variation in their writing, as this study’s findings illustrate that lexical richness was enhanced in the Grammarly condition.",unsupported,high,"Paper recommends Grammarly ""as a means to increase lexical variation in their writing"", contradicting the claim's ""decrease lexical variation"".",Claude Opus annotator C (round 2),2026-09-05
ann-15,"Empirical research is also needed to investigate students’ perceptions of AI (Chan & Hu, 2023) and effective practices and models of AI implementation in English language teaching.","Exploring Applications of ChatGPT to English Language Teaching: Opportunities, Challenges, and Recommendations",10.55593/ej.27107int,"Kostka & Toncelli, 2023","Empirical research is also needed to investigate students’ perceptions of AI (Chan & Hu, 2023) and effective practices and models of AI implementation in English language teaching.",verified,high,"Passage is identical to the claim: ""Empirical research is also needed to investigate students' perceptions of AI (Chan & Hu, 2023)"".",Claude Opus annotator C (round 2),2026-09-05
ann-16,The challenge of this endeavor is to find an appropriate theoretical framework within which the notion of learning experience can be interpreted.,"Towards a better understanding of the L2 Learning Experience, the Cinderella of the L2 Motivational Self System",10.14746/ssllt.2019.9.1.2,"Dörnyei, 2019",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",Claude Opus annotator C (round 2),2026-09-05
ann-17,A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA.,Are foreign language learners’ enjoyment and anxiety specific to the teacher? An investigation into the dynamics of learners’ classroom emotions,10.14746/ssllt.2020.10.1.3,"Dewaele & Dewaele, 2020",A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA.,verified,high,"Passage is identical: ""A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA"".",Claude Opus annotator C (round 2),2026-09-05
ann-18,"Nevertheless, Matt and Joachim shared their feelings of self-doubt and incompetence which resulted from negative experiences related to their linguistic backgrounds and competencies.",Shifting from Native-Speakerism to Trans-Speakerism:  A Trioethnography of Language Teachers in Japan,10.55593/ej.27105a9,"Hiratsuka et al., 2023",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",Claude Opus annotator C (round 2),2026-09-05
ann-19,Brief data from the interviews and the narratives of one best fit candidate for each archetype are presented in the findings.,Tracing the signature dynamics of foreign language classroom anxiety and foreign language enjoyment: A retrodictive qualitative modeling,10.32601/ejal.710194,"SHİRVAN & TALEBZADEH, 2020",Brief data from the interviews and the narratives of one best fit candidate for each archetype are presented in the results.,verified,high,"Passage matches the claim except results versus findings: ""Brief data from the interviews and the narratives of one best fit candidate"".",Claude Opus annotator C (round 2),2026-09-05
ann-20,"In accordance with this approach, the L2 Learning Experience can be defined as the perceived quality of the learners’ engagement with various aspects of the language learning process.","Towards a better understanding of the L2 Learning Experience, the Cinderella of the L2 Motivational Self System",10.14746/ssllt.2019.9.1.2,"Dörnyei, 2019","In accordance with this approach, the L2 Learning Experience can be defined as the perceived quality of the learners’ engagement with various aspects of the language learning process.",verified,high,"Passage is identical: ""the perceived quality of the learners' engagement with various aspects of the language learning process"".",Claude Opus annotator C (round 2),2026-09-05
ann-21,"Statistical analysis revealed that while FLCA was constant with both teachers, FLE was significantly lower with the Main Teacher.",Are foreign language learners’ enjoyment and anxiety specific to the teacher? An investigation into the dynamics of learners’ classroom emotions,10.14746/ssllt.2020.10.1.3,"Dewaele & Dewaele, 2020","Statistical analysis revealed that while FLCA was constant with both teachers, FLE was significantly higher with the Main Teacher.",unsupported,high,"Paper reports ""FLE was significantly higher with the Main Teacher"", the reverse of the claim's ""significantly lower"".",Claude Opus annotator C (round 2),2026-09-05
ann-22,The results revealed an effect size of 1.62 which can be interpreted as a large effect of the independent variable (CL) on the dependent variable (speaking skill).,The Impact of Cooperative Learning on Developing Speaking Ability and Motivation Toward Learning English,10.17323/jle.2019.9809,"Namaziandost et al., 2019",The results revealed an effect size of 0.81 which can be interpreted as a large effect of the independent variable (CL) on the dependent variable (speaking skill).,needs_nuance,medium,"Paper reports ""an effect size of 0.81 which can be interpreted as a large effect"", so the large effect holds but 1.62 doubles it.",Claude Opus annotator C (round 2),2026-09-05
ann-23,"Seventeen participants (36%) reported using it to write the whole assignment for them, which is certainly a cause for concern.",Writing with AI: University Students’ Use of ChatGPT,10.17323/jle.2023.17379,"Črček & Patekar, 2023","Seventeen participants (18%) reported using it to write the whole assignment for them, which is certainly a cause for concern.",needs_nuance,medium,"Paper reads ""Seventeen participants (18%) reported using it to write the whole assignment"", so the count holds but the claim doubles the proportion to 36%.",Claude Opus annotator C (round 2),2026-09-05
ann-24,"Few studies used one-on-one oral interviews with their participants to understand their decision-making process and factors influencing their decisions, which in turn is relevant to their exertion of agency.",A Systematic Review on Pedagogical Translanguaging in TESOL,10.55593/ej.26103a4,"Kim & Weng, 2022","Most studies used one-on-one oral interviews with their participants to understand their decision-making process and factors influencing their decisions, which in turn is relevant to their exertion of agency.",unsupported,high,"Full text reads ""Most studies used one-on-one oral interviews with their participants"", contradicting the claim's ""Few studies"".",Claude Opus annotator C (round 2),2026-09-05
ann-25,Seventeen students (18%) reported that they had used ChatGPT to produce the entire assignment.,Examining the impact of Grammarly on the quality of mobile L2 writing,10.29140/jaltcall.v17n2.336,"Dizon & Gayed, 2021",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"The Grammarly study never mentions ChatGPT and contains no ""Seventeen students (18%)"" figure, so the citation does not support the claim.",Claude Opus annotator C (round 2),2026-09-05
