dataset,run,record_id,title,reason,category,notes
Smid_2020,A,25,Statistical properties of four effect-size measures for mediation models,Effect sizes for mediation models; no explicit small-sample comparison of Bayesian vs frequentist SEM estimation.,FN-DEF,
Smid_2020,A,9,Evaluation of a Bayesian Approach to Estimating Nonlinear Mixed-Effects Mixture Models,"Nonlinear mixed-effects mixture models, no explicit small-sample frequentist comparison.",FN-DEF,
Smid_2020,A,23,Modeling Clustered Data with Very Few Clusters,"Clustered data methods comparison, not specifically SEM Bayesian vs frequentist.",FN-DEF,
Smid_2020,A,22,Computation of reference Bayesian inference for variance components in longitudinal studies,"No abstract; title about variance components in longitudinal studies, not SEM Bayesian vs frequentist small-sample comparison.",FN-ABS,
Smid_2020,A,2,Bayesian and maximum likelihood estimation of hierarchical response time models,"Hierarchical response time models, not SEM; no abstract confirming Bayesian vs frequentist SEM comparison.",FN-ABS,
Smid_2020,A,18,Implementation and performance issues in the Bayesian and likelihood fitting of multilevel models,No abstract; title suggests multilevel model fitting but no evidence of small-sample SEM comparison.,FN-ABS,
Smid_2020,B,25,Statistical properties of four effect-size measures for mediation models,Effect sizes for mediation models; not focused on small samples or SEM parameter estimation comparison.,FN-DEF,
Smid_2020,B,9,Evaluation of a Bayesian Approach to Estimating Nonlinear Mixed-Effects Mixture Models,Nonlinear mixed-effects mixture models; no explicit small-sample Bayesian vs frequentist comparison.,FN-DEF,
Smid_2020,B,23,Modeling Clustered Data with Very Few Clusters,"Clustered data small-sample methods, not SEM Bayesian vs frequentist comparison.",FN-DEF,
Smid_2020,B,22,Computation of reference Bayesian inference for variance components in longitudinal studies,"About Bayesian inference for variance components in longitudinal studies; no SEM, no small-sample comparison to frequentist.",FN-DEF,
Smid_2020,B,2,Bayesian and maximum likelihood estimation of hierarchical response time models,About hierarchical response time models; no abstract and unclear SEM small-sample comparison.,FN-ABS,
Smid_2020,B,6,Bayesian mediation analysis.,Proposes Bayesian mediation analysis but no simulation comparing Bayesian to frequentist estimation for SEM with small samples.,FN-DESIGN,
Smid_2020,B,18,Implementation and performance issues in the Bayesian and likelihood fitting of multilevel models,No abstract; title suggests multilevel model fitting but no clear SEM small-sample comparison.,FN-ABS,
