ann_id,item_id,claim_text,cited_paper_doi,evidence_mode,label_A,conf_A,note_A,label_B,conf_B,note_B,label_C,conf_C,note_C,majority_label,unanimous,construction_category,expected_label,expected_agree,needs_adjudication
ann-01,hss-wrong_paper-01,The use of several data collection tools yielding both quantitative and qualitative results allowed the researcher to identify fluctuations in boredom levels both in single classes and sequences of classes.,10.14746/ssllt.2022.12.1.3,no_match,unsupported,high,"The cited Kruk et al. (2022) Q methodology paper contains no occurrence of 'fluctuation', 'boredom levels', 'single classes' or 'quantitative and qualitative', so it does not address the claim that several data collection tools let the researcher identify fluctuations in boredom.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; searching the cached Kruk et al. 2022 text for ""fluctuat"", ""data collection tools"" and ""sequences of classes"" returns zero hits, so this Q methodology paper does not address the claim.",unsupported,high,"The passage says 'No matching passage found in the cited paper' and a search of the cited Q methodology paper's cached text finds no 'data collection tools', 'fluctuations' or 'sequences of classes', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
ann-02,hss-paraphrase-07,"Finally, the question asking for suggestions from the learners demonstrated many useful ideas which may help to improve the language education in Turkey.",10.32601/ejal.543778,passage,verified,high,"The paper reads 'the question asking for suggestions from the students revealed many useful ideas which may help to improve the language education in Turkey', which differs from the claim only in 'learners' for 'students' and 'demonstrated' for 'revealed'.",verified,high,"Paper reads ""the question asking for suggestions from the students revealed many useful ideas which may help to improve the language education in Turkey"", the same statement with ""students""/""revealed"" for ""learners""/""demonstrated"".",verified,high,"The paper reads 'the question asking for suggestions from the students revealed many useful ideas which may help to improve the language education in Turkey', which supports the claim with only the wording changes 'learners' and 'demonstrated'.",verified,True,paraphrase,verified,True,False
ann-03,hss-altered-04,This shows that participants who loaded significantly on Factor 1 felt that having an unsupportive teacher was a much less important source of boredom than others who shared the views that emerged in Factors 2 and 3.,10.14746/ssllt.2022.12.1.3,passage,unsupported,high,"The paper states that Factor 1 participants felt an unsupportive teacher was 'a much more important source of boredom', the opposite of the claim's 'much less important'.",unsupported,high,"Paper says an unsupportive teacher was a ""much more important source of boredom"" for Factor 1 participants, the opposite of the claim's ""much less important"".",unsupported,high,"The paper says the Factor 1 participants felt an unsupportive teacher was a 'much more important source of boredom', which contradicts the claim's 'much less important'.",unsupported,True,altered,unsupported,True,False
ann-04,hss-paraphrase-08,The findings indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers.,10.32601/ejal.710204,passage,verified,high,The paper's sentence 'The results indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers' matches the claim except for 'findings' in place of 'results'.,verified,high,"Paper reads ""The results indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers"", identical apart from ""results""/""findings"".",verified,high,"The passage states 'The results indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers', matching the claim apart from 'findings' for 'results'.",verified,True,paraphrase,verified,True,False
ann-05,hss-verbatim-08,"The relationship between the superior colonizer and the inferior colonized promoted by colonialism is further consolidated by discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies.",10.14483/22487085.17087,passage,verified,high,"The passage reproduces the claim verbatim, including 'discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies'.",verified,high,"The passage repeats the claim word for word, including ""segregate and minimize subjectivities, knowledges, and autonomies"".",verified,high,"The passage repeats the claim word for word, including 'discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies'.",verified,True,verbatim,verified,True,False
ann-06,hss-no_full_text-04,The highest percentage of participants taught in Ağrı (30.7%) followed by Giresun (23%).,10.32601/ejal.543778,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,"The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path, so the percentages cannot be checked.",no_full_text,True,no_full_text,no_full_text,True,False
ann-07,hss-altered-06,"Following decreased global mobility, there is high demand for teachers in SFI and there is an urgent need for the development of teacher education for this group.",10.17011/apples/urn.201903251959,passage,unsupported,high,"The paper reads 'Following increased global mobility, there is high demand for teachers in SFI', contradicting the claim's 'Following decreased global mobility'.",unsupported,high,"Paper says ""Following increased global mobility, there is high demand for teachers in SFI"", contradicting the claim's ""Following decreased global mobility"".",unsupported,high,"The paper says 'Following increased global mobility', the opposite of the claim's 'Following decreased global mobility'.",unsupported,True,altered,unsupported,True,False
ann-08,hss-no_full_text-03,The lower ratings given in session 4 tie in with a notable increase of weak points brought forward.,10.29140/tltl.v6n1.1168,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,no_full_text,True,no_full_text,no_full_text,True,False
ann-09,hss-altered-16,"Consequently, the inter-rater reliability was found 99%, which is above the satisfactory rate.",10.32601/ejal.776002,passage,unsupported,high,"The paper states 'the inter-rater reliability was found 90%, which is above the satisfactory rate', not the claim's 99%.",unsupported,high,"Paper reports ""the inter-rater reliability was found 90%"", not the claim's ""99%"".",unsupported,high,"The paper reports 'the inter-rater reliability was found 90%', contradicting the claim's '99%'.",unsupported,True,altered,unsupported,True,False
ann-10,hss-altered-12,"Moreover, thanks to the information provided by the teacher throughout the interview, we know that ChatGPT was effective in helping the teacher design few teaching tasks for her classes of different ages and levels.",10.29140/tltl.v6n1.1142,passage,unsupported,high,"The paper says ChatGPT 'was effective in helping the teacher design most teaching tasks for her classes', contradicting the claim's 'few teaching tasks'.",unsupported,high,"Paper says ChatGPT helped the teacher design ""most teaching tasks"", contradicting the claim's ""few teaching tasks"".",unsupported,high,"The paper says ChatGPT was effective in helping the teacher design 'most teaching tasks', which contradicts the claim's 'few teaching tasks'.",unsupported,True,altered,unsupported,True,False
