ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on
annr-01,"For example, Gegenfurtner et al. (2020) found that two expert groups - in-service teachers and school principals - achieved higher levels of knowledge-based reasoning than pre-service teachers when analyzing photographs of mathematics instruction.","Teacher Expertise and Professional Vision: Examining Knowledge-Based Reasoning of Pre-Service Teachers, In-Service Teachers, and School Principals",10.3389/feduc.2020.00059,"Gegenfurtner et al., 2020",Both groups of experts also produced a higher number of predictions than pre-service teachers did (Hypothesis Frontiers in Education | www.frontiersin.org 4 May 2020 | Volume 5 | Article 59 Gegenfurtner et al. Knowledge-Based Reasoning TABLE 1 | Coding scheme.,,,,,
annr-02,"In a subsequent larger RCT, compared to a control group that received no intervention, the 14-16 month old children whose carers received the dialogic book-sharing training showed significant and substantial improvement in expressive and receptive language, as well as in focal attention (Vally et al., 2015).",The impact of dialogic book‐sharing training on infant language and attention: a randomized controlled trial in a deprived South African community,10.1111/jcpp.12352,"Vally et al., 2015","We found a significant benefit of the BS training: in comparison to controls, BS intervention group mothers became more sensitive, more facilitating, and more elaborative in book sharing; and, compared to controls, infants whose mothers had received BS training showed larger gains in terms of receptive and expressive vocabulary and sustained attention (Cooper et al., 2014).",,,,,
annr-03,"In the Chau and Cheng (2010) study, teachers reported to understand what was expected from them in their traditional directive role, but they did not fully understand what was expected from them in their new facilitative role.",Towards understanding the potential of e-portfolios for independent learning: A qualitative study,10.14742/ajet.1026,"Chau & Cheng, 2010",No matching passage found in the cited paper (best overlap below threshold),,,,,
annr-04,"Furthermore, Rincon and Clavijo-Olarte (2016) extend this critique by emphasizing the importance of community engagement and the use of diverse communication modes, such as videos and songs, in constructing meaning around socio-cultural issues.",Fostering EFL learners´ literacies through local inquiry in a multimodal experience,10.14483/calj.v18n2.10610,"Rincon & Clavijo-Olarte, 2016","Students used videos, audios, images, and texts as multiple modes of communication to express their learning about the community issues.",,,,,
annr-05,"In a study with 1,185 secondary school students (aged 11–17 years) in China, results from student self-evaluation questionnaires/surveys helped educators predict and improve student outcomes by providing interventional support (Chen et al., 2022).",Core self-evaluation and subjective wellbeing: A moderated mediation model,10.3389/fpubh.2022.1036071,"Chen et al., 2022","Guo et al. (34) took junior high school students as samples, indicating that core self-evaluation explained 15.1% of overall wellbeing, which can signiﬁcantly positively predict overall life satisfaction, positive emotions and overall wellbeing. In secondary vocational students, core self-evaluation was signiﬁcantly correlated with subjective wellbeing (p < 0.01), and could positively predict subjective wellbeing (β = 0.622, p < 0.01) (35).",,,,,
annr-06,"In their study, van der Heijden et al. (2018) found a positive relation between teacher agency and openness.",Understanding teachers as change agents: An investigation of primary school teachers’ self-perception,10.1007/s10833-018-9320-9,"Heijden et al., 2018",Based on our previous study (van der Heijden et al.,,,,,
annr-07,Amels et al. (2020) found job satisfaction to be an important motivational aspect that supports teacher optimism and resilience.,The effects of distributed leadership and inquiry-based work on primary teachers’ capacity to change: testing a model,10.1080/09243453.2020.1746363,"Amels et al., 2020",AMELS ET AL.,,,,,
annr-08,Hoth et al. (2022) found constructivist beliefs about mathematics teaching to be moderately correlated with noticing (r = 0.35).,Identifying and dealing with student errors in the mathematics classroom: Cognitive and motivational requirements,10.3389/fpsyg.2022.1057730,"Hoth et al., 2022",Keppens et al. (2021) found that teachers with strong constructivist beliefs are better at noticing aspects of inclusive classroom characteristics relating to differentiated instruction.,,,,,
annr-09,"In addition to the above, Salame and Makki (2021) opined that PhET simulations are safer, cleaner, more cost-efficient, flexible, and time efficient than conventional chemistry experiments.",Examining the Use of PhET Simulations on Students’ Attitudes and Learning in General Chemistry II,10.21601/ijese/10966,"Salame & Makki, 2021","I., & Makki, J. (2021). Examining the use of PhET simulations on students’ attitudes and learning in general chemistry II.",,,,,
annr-10,"For example, Poppitt and Frey (2007) emphasized that talking about emotional distress was not culturally acceptable among certain cultural groups.",Sudanese Adolescent Refugees: Acculturation and Acculturative Stress,10.1375/ajgc.17.2.160,"Poppitt & Frey, 2007","(2003), speaking of emotional distress is not culturally acceptable among southern Sudanese.",,,,,
annr-11,"Similarly, Owston et al. (2019) recommended that a successful BL delivery comprises of 80% high quality online learning integrated with 20% classroom teaching that is linked to online content.",Blended learning in large enrolment courses: Student perceptions across four different instructional models,10.14742/ajet.4310,"Owston et al., 2019",Owston et al.,,,,,
annr-12,"In one paper, the study focused on the use of the LMS, Sakai, with student engagement in online resources and found a positive correlation between online access to resources and academic achievement (Crampton et al., 2012).",Cross-discipline investigation of the relationship between academic performance and online resource access by distance education students,10.3402/rlt.v20i0.14430,"Crampton et al., 2012","In regards to microbiology, Johnson (2008) found a significant correlation between academic performance and use of online resources (again quizzes), attributing that time-on-task may be a key component of the association.",,,,,
annr-13,"The researchers concluded that while interest in mobile learning was high, actual deployment in course delivery was relatively low (Cavus et al., 2020).",Perceptions of Foreign Language Teachers for M-Learning,10.3991/ijet.v15i23.18799,"Cavus et al., 2020","According to the result of the research, the teachers' perception of mobile learning is high.",,,,,
annr-14,"A Palestinian study on the use of Facebook by students in an undergraduate educational technology course revealed strong acceptance of this delivery modality as an effective way to learn (Shraim, 2014).",Pedagogical Innovation within Facebook: A Case Study in Tertiary Education in Palestine,10.3991/ijet.v9i8.3805,"Shraim, 2014","Case Study B. In the academic year 2011-2012, 240 students from An- Najah National University, Palestine enrolled in four sec- tions of an undergraduate Educational Technology course whose objective was to develop their competence in the use of educational technology for planning and delivering instruction.",,,,,
