ann_id,item_id,construction_category,expected_label,built_at
ann-01,hss-no_full_text-02,no_full_text,no_full_text,2026-09-05T16:41:38+00:00
ann-02,hss-no_full_text-04,no_full_text,no_full_text,2026-09-05T16:41:38+00:00
ann-03,hss-paraphrase-05,paraphrase,verified,2026-09-05T16:41:38+00:00
ann-04,hss-wrong_paper-03,wrong_paper,unsupported,2026-09-05T16:41:38+00:00
ann-05,hss-paraphrase-01,paraphrase,verified,2026-09-05T16:41:38+00:00
ann-06,hss-altered-04,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-07,hss-altered-05,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-08,hss-wrong_paper-04,wrong_paper,unsupported,2026-09-05T16:41:38+00:00
ann-09,hss-paraphrase-02,paraphrase,verified,2026-09-05T16:41:38+00:00
ann-10,hss-verbatim-01,verbatim,verified,2026-09-05T16:41:38+00:00
ann-11,hss-altered-08,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-12,hss-paraphrase-03,paraphrase,verified,2026-09-05T16:41:38+00:00
ann-13,hss-wrong_paper-02,wrong_paper,unsupported,2026-09-05T16:41:38+00:00
ann-14,hss-altered-03,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-15,hss-verbatim-02,verbatim,verified,2026-09-05T16:41:38+00:00
ann-16,hss-no_full_text-03,no_full_text,no_full_text,2026-09-05T16:41:38+00:00
ann-17,hss-verbatim-04,verbatim,verified,2026-09-05T16:41:38+00:00
ann-18,hss-no_full_text-01,no_full_text,no_full_text,2026-09-05T16:41:38+00:00
ann-19,hss-paraphrase-04,paraphrase,verified,2026-09-05T16:41:38+00:00
ann-20,hss-verbatim-03,verbatim,verified,2026-09-05T16:41:38+00:00
ann-21,hss-altered-09,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-22,hss-altered-01,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-23,hss-altered-02,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-24,hss-altered-06,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-25,hss-wrong_paper-01,wrong_paper,unsupported,2026-09-05T16:41:38+00:00
ann-26,hss-no_full_text-05,no_full_text,no_full_text,2026-09-05T16:41:38+00:00
ann-27,hss-altered-10,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-28,hss-altered-07,altered,unsupported|needs_nuance,2026-09-05T16:41:38+00:00
ann-29,hss-verbatim-05,verbatim,verified,2026-09-05T16:41:38+00:00
ann-30,hss-wrong_paper-05,wrong_paper,unsupported,2026-09-05T16:41:38+00:00
