ann_id,item_id,final_label,source,rationale,evidence_mode,construction_category,expected_label,agrees_with_construction,countersigned_by,countersigned_at
ann-01,hss-wrong_paper-01,unsupported,unanimous,"The cited paper is ""Potential sources of foreign language learning boredom: A Q methodology study"". Its cached text contains no occurrence of ""fluctuation"", ""boredom level"" or ""data collection tool"", and its closest sentence, ""To this aim, Mariusz Kruk, Mirosław Pawlak, Majid Elahi Shirvan, Tahereh Taherian, Elham Yazdanmehr 38 a Q method, which shares features of both qualitative and quantitative research approaches, was used to explore 37 Iranian English as a foreign language (EFL) learners’ perceptions of potential sources of boredom in the classroom."", shares 21% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-02,hss-paraphrase-07,verified,unanimous,"The cited paper reads ""Finally, the question asking for suggestions from the students revealed many useful ideas which may help to improve the language education in Turkey."" The claim differs only in ""learners demonstrated"" for ""students revealed"", which does not change what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-03,hss-altered-04,unsupported,unanimous,"The cited paper reads ""This shows that participants who loaded significantly on Factor 1 felt that having an unsupportive teacher was a much more important source of boredom than others who shared the views that emerged in Factors 2 and 3."" The claim writes ""less"" where the paper writes ""more"", so the paper states a different comparative direction for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-04,hss-paraphrase-08,verified,unanimous,"The cited paper reads ""The results indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers."" The claim differs only in ""findings"" for ""results"", which does not change what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-05,hss-verbatim-08,verified,unanimous,"The cited paper contains the sentence verbatim: ""The relationship between the superior colonizer and the inferior colonized promoted by colonialism is further consolidated by discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-06,hss-no_full_text-04,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
ann-07,hss-altered-06,unsupported,unanimous,"The cited paper reads ""Following increased global mobility, there is high demand for teachers in SFI and there is an urgent need for the development of teacher education for this group."" The claim writes ""decreased"" where the paper writes ""increased"", so the paper states a different direction for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-08,hss-no_full_text-03,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
ann-09,hss-altered-16,unsupported,unanimous,"The cited paper reads ""Consequently, the inter-rater reliability was found 90%, which is above the satisfactory rate."" The claim writes ""99%"" where the paper writes ""90%"", so the paper states a different value for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-10,hss-altered-12,unsupported,unanimous,"The cited paper reads ""Moreover, thanks to the information provided by the teacher throughout the interview, we know that ChatGPT was effective in helping the teacher design most teaching tasks for her classes of different ages and levels."" The claim writes ""few"" where the paper writes ""most"", so the paper states a different quantifier for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
