ann_id,item_id,claim_text,cited_paper_doi,evidence_mode,label_A,conf_A,note_A,label_B,conf_B,note_B,label_C,conf_C,note_C,majority_label,unanimous,needs_adjudication
annr-01,real-test-12,"For example, Gegenfurtner et al. (2020) found that two expert groups - in-service teachers and school principals - achieved higher levels of knowledge-based reasoning than pre-service teachers when analyzing photographs of mathematics instruction.",10.3389/feduc.2020.00059,passage,verified,high,"Discussion states the major findings demonstrated ""that in-service teachers and school principals engaged in more knowledge-driven reasoning than pre-service teachers"", and the material was ""photographs showing problem-solving situations in eighth grade mathematics education"", matching the claim as stated.",verified,high,"The paper's Principal Findings state that 'in-service teachers and school principals engaged in more knowledge-driven reasoning than pre-service teachers', and the material was 'photographs showing problem-solving situations in eighth grade mathematics education', matching both halves of the claim.",verified,high,"The paper's abstract states that ""in-service teachers and school principals used significantly more episodic knowledge, content knowledge, and pedagogical content knowledge in their reasoning than pre-service teachers did"" after viewing ""photographs of eighth grade mathematics classes"", matching the claim.",verified,True,False
annr-02,real-test-18,"In a subsequent larger RCT, compared to a control group that received no intervention, the 14-16 month old children whose carers received the dialogic book-sharing training showed significant and substantial improvement in expressive and receptive language, as well as in focal attention (Vally et al., 2015).",10.1111/jcpp.12352,passage,verified,high,"The abstract reports mothers ""of infants aged between 14 and 16 months"" randomised to book-sharing training ""or a no-intervention control group"", with a ""significantly greater increase in the number of words understood"" and words the infant ""understood and could vocalize"", plus ""substantially greater gains on a measure of sustained attention"" described in the conclusion as ""focussed attention"".",verified,high,"The abstract states that mothers of infants 'aged between 14 and 16 months' were randomized to book-sharing training 'or a no-intervention control group', that carers reported 'a significantly greater increase in the number of words understood' and words the infant 'understood and could vocalize', and that 'Intervention group children also showed substantially greater gains on a measure of sustained attention'.",verified,high,"The paper reports that ""Mothers of infants aged between 14 and 16 months were recruited and randomized to either eight weeks of manualized training in dialogic book-sharing or a no-intervention control group"", with greater gains in words understood and vocalized and ""substantially greater gains on a measure of sustained attention"" described as ""focussed attention"".",verified,True,False
annr-03,real-test-05,"In the Chau and Cheng (2010) study, teachers reported to understand what was expected from them in their traditional directive role, but they did not fully understand what was expected from them in their new facilitative role.",10.14742/ajet.1026,no_match,needs_nuance,medium,"The paper supports only the second half of the claim, quoting a teacher that ""We need to define clearly the role of facilitator, what kind of feedback because we’re not their subject teacher"" and reading this as ""a sense of uncertainty"", but it nowhere reports that teachers said they understood what was expected of them in a traditional directive role.",needs_nuance,medium,"The paper supports only the second half, quoting a teacher that 'We need to define clearly the role of facilitator' and reading such remarks as 'a sense of uncertainty about the changing educational landscape'; it never reports that teachers understood what was expected of them in a traditional directive role, and the word 'directive' does not appear.",needs_nuance,medium,"The paper supports only the second half of the claim, reporting ""a sense of uncertainty about the changing educational landscape"" and a teacher asking to ""define clearly the role of facilitator"", but it nowhere states that teachers reported understanding what was expected of them in a traditional directive role.",needs_nuance,True,False
annr-04,real-test-06,"Furthermore, Rincon and Clavijo-Olarte (2016) extend this critique by emphasizing the importance of community engagement and the use of diverse communication modes, such as videos and songs, in constructing meaning around socio-cultural issues.",10.14483/calj.v18n2.10610,passage,verified,high,"The paper reports that ""Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos"" and centres the work on community inquiry, matching both the community engagement and the videos-and-songs detail.",verified,high,"The paper states that 'Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos, scripted voiceovers, music, and video clips', within an inquiry curriculum 'that explored community issues', covering both the community engagement and the videos-and-songs modes in the claim.",verified,high,"The paper states that ""Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos"" produced from inquiry in their own communities, covering both the community focus and the video and song modes.",verified,True,False
annr-05,real-test-26,"In a study with 1,185 secondary school students (aged 11–17 years) in China, results from student self-evaluation questionnaires/surveys helped educators predict and improve student outcomes by providing interventional support (Chen et al., 2022).",10.3389/fpubh.2022.1036071,passage,needs_nuance,medium,"The sample matches (""the final sample was 1,185 adolescents"", ""11–17 years of age"", ""nine different middle schools from Guizhou Province in China""), but this was a cross-sectional questionnaire study whose discussion only offers a recommendation, ""subjective wellbeing can be promoted through interventions"", so it does not show that survey results helped educators improve outcomes through interventional support.",needs_nuance,medium,"The sample detail matches ('a sample of 1,185 adolescents (11-17 years of age)' from 'nine different middle schools from Guizhou Province in China') and core self-evaluation 'contributed significantly to subjective wellbeing', but the paper is cross-sectional and only suggests that wellbeing 'can be promoted through interventions', so it does not support the claim that the results actually helped educators improve outcomes by providing interventional support.",needs_nuance,medium,"The sample matches (""A sample of 1,185 adolescents (11-17 years of age"" in nine Chinese middle schools), but the paper only reports that core self-evaluation predicts subjective wellbeing and suggests that ""subjective wellbeing can be promoted through interventions""; no educators used the questionnaire results to predict or improve student outcomes.",needs_nuance,True,False
annr-06,real-test-01,"In their study, van der Heijden et al. (2018) found a positive relation between teacher agency and openness.",10.1007/s10833-018-9320-9,passage,verified,medium,"The results state that ""Significant correlations were observed between the characteristics of teachers as change agents and the Big Five personality factors"" and that change-agent variance was explained ""especially by openness to experience (b = .427, p = .000)"", supporting a positive relation between teacher agency and openness.",verified,medium,"The paper frames change agents as teachers who 'exercise their professional agency' and concludes that 'openness to experience appears to be an important personality factor for all change agent characteristics', reporting positive coefficients such as 'openness to experience (b = .427, p = .000)'.",verified,medium,"The paper reports significant positive relations of openness with the change-agent characteristics through which teacher agency is operationalised, for example ""openness to experience (b = .427, p = .000)"" for focus on innovation at the classroom level.",verified,True,False
annr-07,real-test-03,Amels et al. (2020) found job satisfaction to be an important motivational aspect that supports teacher optimism and resilience.,10.1080/09243453.2020.1746363,passage,needs_nuance,medium,"The paper does treat job satisfaction as one of the ""motivational aspects"" that build ""teachers’ capacity to change"", but the words optimism and resilience never appear anywhere in the text, so the claim adds outcomes the cited paper does not state.",needs_nuance,medium,"The paper does place job satisfaction among the motivational aspects of the capacity to change ('motivational aspects (i.e., internalization of school goals as personal goals, sense of self-efficacy, and job satisfaction)'), but the words 'optimism' and 'resilience' never appear in it, so the attributed link to teacher optimism and resilience is not stated.",needs_nuance,medium,"The paper does treat job satisfaction as one of the ""motivational aspects (i.e., internalization of school goals as personal goals, sense of self-efficacy, and job satisfaction)"" affecting capacity to change, but the words optimism and resilience do not appear anywhere in it, so the claimed link to those two constructs is not stated.",needs_nuance,True,False
annr-08,real-test-11,Hoth et al. (2022) found constructivist beliefs about mathematics teaching to be moderately correlated with noticing (r = 0.35).,10.3389/fpsyg.2022.1057730,passage,verified,medium,"Table 1 gives the correlation between the constructivist ""Beliefs"" scale and PID_E as ""0.35**"", and PID_E is the paper’s perception-interpretation-decision measure framed ""in reference to work in the fields of teacher noticing"", so the moderate r = 0.35 with noticing is as stated.",verified,medium,"Table 1 of the paper gives the correlation between Beliefs and PID_E as '0.35**', and the text says 'Constructivist beliefs regarding mathematics teaching are also positively correlated with ... their ability to analyze and deal with student errors and misconceptions (PID_E)', with PID skills defined 'in reference to work in the fields of teacher noticing'.",verified,medium,"Table 1 of the paper gives the correlation between ""Beliefs"" and PID_E, the perception, interpretation and decision-making (noticing) measure, as ""0.35**"", exactly the value and direction the claim reports.",verified,True,False
annr-09,real-test-23,"In addition to the above, Salame and Makki (2021) opined that PhET simulations are safer, cleaner, more cost-efficient, flexible, and time efficient than conventional chemistry experiments.",10.21601/ijese/10966,passage,needs_nuance,medium,"The paper reports only that simulations are ""flexible tools"" (citing Perkins et al.) and allow manipulation ""without worrying about safety"" plus the ""ability to save instructors time"" (citing Blake and Scanlon); it never says PhET is cleaner or more cost-efficient than conventional chemistry experiments, and it lists cost and safety only as problems of traditional labs.",needs_nuance,medium,"The paper supports only parts of the list second-hand, reporting that 'PhET simulations are flexible tools used by educators' (Perkins et al., 2014) and that simulations offer the 'ability to save instructors time' and manipulation of variables 'without worrying about safety' (Blake and Scanlon, 2007); the words 'cleaner' and 'cost-efficient' do not appear, and cost is listed as a problem of traditional labs rather than an advantage claimed for PhET.",unsupported,medium,"The paper's conclusions are about attitudes and conceptual understanding (""PhET interactive simulations had an overall positive impact on students' attitudes and perceptions about learning""); the words safer, cleaner, cost-efficient and time efficient never appear, and no comparison of that kind with conventional experiments is made.",needs_nuance,False,True
annr-10,real-test-25,"For example, Poppitt and Frey (2007) emphasized that talking about emotional distress was not culturally acceptable among certain cultural groups.",10.1375/ajgc.17.2.160,passage,verified,medium,"The paper's limitations state that ""according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese"", which is the proposition the claim attributes to it, though the paper is relaying another source rather than emphasising its own finding.",verified,medium,"The paper states, in its limitations, 'according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese', which supports the claim's weaker wording about certain cultural groups.",verified,medium,"The paper's limitations state ""according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese"", which is the substance of the claim, although the paper attributes the point to a secondary source rather than emphasising it as its own finding.",verified,True,False
