ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on,label,justification
annr-01,"For example, Gegenfurtner et al. (2020) found that two expert groups - in-service teachers and school principals - achieved higher levels of knowledge-based reasoning than pre-service teachers when analyzing photographs of mathematics instruction.","Teacher Expertise and Professional Vision: Examining Knowledge-Based Reasoning of Pre-Service Teachers, In-Service Teachers, and School Principals",10.3389/feduc.2020.00059,"Gegenfurtner et al., 2020",Both groups of experts also produced a higher number of predictions than pre-service teachers did (Hypothesis Frontiers in Education | www.frontiersin.org 4 May 2020 | Volume 5 | Article 59 Gegenfurtner et al. Knowledge-Based Reasoning TABLE 1 | Coding scheme.,verified,high,"Discussion states the major findings demonstrated ""that in-service teachers and school principals engaged in more knowledge-driven reasoning than pre-service teachers"", and the material was ""photographs showing problem-solving situations in eighth grade mathematics education"", matching the claim as stated.",annotator3_A,2026-09-07,verified,"Discussion states the major findings demonstrated ""that in-service teachers and school principals engaged in more knowledge-driven reasoning than pre-service teachers"", and the material was ""photographs showing problem-solving situations in eighth grade mathematics education"", matching the claim as stated."
annr-02,"In a subsequent larger RCT, compared to a control group that received no intervention, the 14-16 month old children whose carers received the dialogic book-sharing training showed significant and substantial improvement in expressive and receptive language, as well as in focal attention (Vally et al., 2015).",The impact of dialogic book‐sharing training on infant language and attention: a randomized controlled trial in a deprived South African community,10.1111/jcpp.12352,"Vally et al., 2015","We found a significant benefit of the BS training: in comparison to controls, BS intervention group mothers became more sensitive, more facilitating, and more elaborative in book sharing; and, compared to controls, infants whose mothers had received BS training showed larger gains in terms of receptive and expressive vocabulary and sustained attention (Cooper et al., 2014).",verified,high,"The abstract reports mothers ""of infants aged between 14 and 16 months"" randomised to book-sharing training ""or a no-intervention control group"", with a ""significantly greater increase in the number of words understood"" and words the infant ""understood and could vocalize"", plus ""substantially greater gains on a measure of sustained attention"" described in the conclusion as ""focussed attention"".",annotator3_A,2026-09-07,verified,"The abstract reports mothers ""of infants aged between 14 and 16 months"" randomised to book-sharing training ""or a no-intervention control group"", with a ""significantly greater increase in the number of words understood"" and words the infant ""understood and could vocalize"", plus ""substantially greater gains on a measure of sustained attention"" described in the conclusion as ""focussed attention""."
annr-03,"In the Chau and Cheng (2010) study, teachers reported to understand what was expected from them in their traditional directive role, but they did not fully understand what was expected from them in their new facilitative role.",Towards understanding the potential of e-portfolios for independent learning: A qualitative study,10.14742/ajet.1026,"Chau & Cheng, 2010",No matching passage found in the cited paper (best overlap below threshold),needs_nuance,medium,"The paper supports only the second half of the claim, quoting a teacher that ""We need to define clearly the role of facilitator, what kind of feedback because we’re not their subject teacher"" and reading this as ""a sense of uncertainty"", but it nowhere reports that teachers said they understood what was expected of them in a traditional directive role.",annotator3_A,2026-09-07,needs_nuance,"The paper supports only the second half of the claim, quoting a teacher that ""We need to define clearly the role of facilitator, what kind of feedback because we’re not their subject teacher"" and reading this as ""a sense of uncertainty"", but it nowhere reports that teachers said they understood what was expected of them in a traditional directive role."
annr-04,"Furthermore, Rincon and Clavijo-Olarte (2016) extend this critique by emphasizing the importance of community engagement and the use of diverse communication modes, such as videos and songs, in constructing meaning around socio-cultural issues.",Fostering EFL learners´ literacies through local inquiry in a multimodal experience,10.14483/calj.v18n2.10610,"Rincon & Clavijo-Olarte, 2016","Students used videos, audios, images, and texts as multiple modes of communication to express their learning about the community issues.",verified,high,"The paper reports that ""Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos"" and centres the work on community inquiry, matching both the community engagement and the videos-and-songs detail.",annotator3_A,2026-09-07,verified,"The paper reports that ""Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos"" and centres the work on community inquiry, matching both the community engagement and the videos-and-songs detail."
annr-05,"In a study with 1,185 secondary school students (aged 11–17 years) in China, results from student self-evaluation questionnaires/surveys helped educators predict and improve student outcomes by providing interventional support (Chen et al., 2022).",Core self-evaluation and subjective wellbeing: A moderated mediation model,10.3389/fpubh.2022.1036071,"Chen et al., 2022","Guo et al. (34) took junior high school students as samples, indicating that core self-evaluation explained 15.1% of overall wellbeing, which can signiﬁcantly positively predict overall life satisfaction, positive emotions and overall wellbeing. In secondary vocational students, core self-evaluation was signiﬁcantly correlated with subjective wellbeing (p < 0.01), and could positively predict subjective wellbeing (β = 0.622, p < 0.01) (35).",needs_nuance,medium,"The sample matches (""the final sample was 1,185 adolescents"", ""11–17 years of age"", ""nine different middle schools from Guizhou Province in China""), but this was a cross-sectional questionnaire study whose discussion only offers a recommendation, ""subjective wellbeing can be promoted through interventions"", so it does not show that survey results helped educators improve outcomes through interventional support.",annotator3_A,2026-09-07,needs_nuance,"The sample matches (""the final sample was 1,185 adolescents"", ""11–17 years of age"", ""nine different middle schools from Guizhou Province in China""), but this was a cross-sectional questionnaire study whose discussion only offers a recommendation, ""subjective wellbeing can be promoted through interventions"", so it does not show that survey results helped educators improve outcomes through interventional support."
annr-06,"In their study, van der Heijden et al. (2018) found a positive relation between teacher agency and openness.",Understanding teachers as change agents: An investigation of primary school teachers’ self-perception,10.1007/s10833-018-9320-9,"Heijden et al., 2018",Based on our previous study (van der Heijden et al.,verified,medium,"The results state that ""Significant correlations were observed between the characteristics of teachers as change agents and the Big Five personality factors"" and that change-agent variance was explained ""especially by openness to experience (b = .427, p = .000)"", supporting a positive relation between teacher agency and openness.",annotator3_A,2026-09-07,verified,"The results state that ""Significant correlations were observed between the characteristics of teachers as change agents and the Big Five personality factors"" and that change-agent variance was explained ""especially by openness to experience (b = .427, p = .000)"", supporting a positive relation between teacher agency and openness."
annr-07,Amels et al. (2020) found job satisfaction to be an important motivational aspect that supports teacher optimism and resilience.,The effects of distributed leadership and inquiry-based work on primary teachers’ capacity to change: testing a model,10.1080/09243453.2020.1746363,"Amels et al., 2020",AMELS ET AL.,needs_nuance,medium,"The paper does treat job satisfaction as one of the ""motivational aspects"" that build ""teachers’ capacity to change"", but the words optimism and resilience never appear anywhere in the text, so the claim adds outcomes the cited paper does not state.",annotator3_A,2026-09-07,needs_nuance,"The paper does treat job satisfaction as one of the ""motivational aspects"" that build ""teachers’ capacity to change"", but the words optimism and resilience never appear anywhere in the text, so the claim adds outcomes the cited paper does not state."
annr-08,Hoth et al. (2022) found constructivist beliefs about mathematics teaching to be moderately correlated with noticing (r = 0.35).,Identifying and dealing with student errors in the mathematics classroom: Cognitive and motivational requirements,10.3389/fpsyg.2022.1057730,"Hoth et al., 2022",Keppens et al. (2021) found that teachers with strong constructivist beliefs are better at noticing aspects of inclusive classroom characteristics relating to differentiated instruction.,verified,medium,"Table 1 gives the correlation between the constructivist ""Beliefs"" scale and PID_E as ""0.35**"", and PID_E is the paper’s perception-interpretation-decision measure framed ""in reference to work in the fields of teacher noticing"", so the moderate r = 0.35 with noticing is as stated.",annotator3_A,2026-09-07,verified,"Table 1 gives the correlation between the constructivist ""Beliefs"" scale and PID_E as ""0.35**"", and PID_E is the paper’s perception-interpretation-decision measure framed ""in reference to work in the fields of teacher noticing"", so the moderate r = 0.35 with noticing is as stated."
annr-09,"In addition to the above, Salame and Makki (2021) opined that PhET simulations are safer, cleaner, more cost-efficient, flexible, and time efficient than conventional chemistry experiments.",Examining the Use of PhET Simulations on Students’ Attitudes and Learning in General Chemistry II,10.21601/ijese/10966,"Salame & Makki, 2021","I., & Makki, J. (2021). Examining the use of PhET simulations on students’ attitudes and learning in general chemistry II.",needs_nuance,medium,"The paper reports only that simulations are ""flexible tools"" (citing Perkins et al.) and allow manipulation ""without worrying about safety"" plus the ""ability to save instructors time"" (citing Blake and Scanlon); it never says PhET is cleaner or more cost-efficient than conventional chemistry experiments, and it lists cost and safety only as problems of traditional labs.",annotator3_A,2026-09-07,needs_nuance,"The paper reports only that simulations are ""flexible tools"" (citing Perkins et al.) and allow manipulation ""without worrying about safety"" plus the ""ability to save instructors time"" (citing Blake and Scanlon); it never says PhET is cleaner or more cost-efficient than conventional chemistry experiments, and it lists cost and safety only as problems of traditional labs."
annr-10,"For example, Poppitt and Frey (2007) emphasized that talking about emotional distress was not culturally acceptable among certain cultural groups.",Sudanese Adolescent Refugees: Acculturation and Acculturative Stress,10.1375/ajgc.17.2.160,"Poppitt & Frey, 2007","(2003), speaking of emotional distress is not culturally acceptable among southern Sudanese.",verified,medium,"The paper's limitations state that ""according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese"", which is the proposition the claim attributes to it, though the paper is relaying another source rather than emphasising its own finding.",annotator3_A,2026-09-07,verified,"The paper's limitations state that ""according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese"", which is the proposition the claim attributes to it, though the paper is relaying another source rather than emphasising its own finding."
annr-11,"Similarly, Owston et al. (2019) recommended that a successful BL delivery comprises of 80% high quality online learning integrated with 20% classroom teaching that is linked to online content.",Blended learning in large enrolment courses: Student perceptions across four different instructional models,10.14742/ajet.4310,"Owston et al., 2019",Owston et al.,unsupported,medium,"The paper compares four blended models (CLTW, CLOT, OLCT, CLHT) and recommends only ""that future research be conducted""; the sole mention of 80 per cent is a cited meta-analytic finding that ""students in courses with 60% to 80% of time spent online achieved higher"", so the 80/20 delivery recommendation is not made here.",annotator3_A,2026-09-07,unsupported,"The paper compares four blended models (CLTW, CLOT, OLCT, CLHT) and recommends only ""that future research be conducted""; the sole mention of 80 per cent is a cited meta-analytic finding that ""students in courses with 60% to 80% of time spent online achieved higher"", so the 80/20 delivery recommendation is not made here."
