ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on,label,justification
annr-01,"For example, Gegenfurtner et al. (2020) found that two expert groups - in-service teachers and school principals - achieved higher levels of knowledge-based reasoning than pre-service teachers when analyzing photographs of mathematics instruction.","Teacher Expertise and Professional Vision: Examining Knowledge-Based Reasoning of Pre-Service Teachers, In-Service Teachers, and School Principals",10.3389/feduc.2020.00059,"Gegenfurtner et al., 2020",Both groups of experts also produced a higher number of predictions than pre-service teachers did (Hypothesis Frontiers in Education | www.frontiersin.org 4 May 2020 | Volume 5 | Article 59 Gegenfurtner et al. Knowledge-Based Reasoning TABLE 1 | Coding scheme.,verified,high,"The paper's Principal Findings state that 'in-service teachers and school principals engaged in more knowledge-driven reasoning than pre-service teachers', and the material was 'photographs showing problem-solving situations in eighth grade mathematics education', matching both halves of the claim.",annotator3_B,2026-09-07,verified,"The paper's Principal Findings state that 'in-service teachers and school principals engaged in more knowledge-driven reasoning than pre-service teachers', and the material was 'photographs showing problem-solving situations in eighth grade mathematics education', matching both halves of the claim."
annr-02,"In a subsequent larger RCT, compared to a control group that received no intervention, the 14-16 month old children whose carers received the dialogic book-sharing training showed significant and substantial improvement in expressive and receptive language, as well as in focal attention (Vally et al., 2015).",The impact of dialogic book‐sharing training on infant language and attention: a randomized controlled trial in a deprived South African community,10.1111/jcpp.12352,"Vally et al., 2015","We found a significant benefit of the BS training: in comparison to controls, BS intervention group mothers became more sensitive, more facilitating, and more elaborative in book sharing; and, compared to controls, infants whose mothers had received BS training showed larger gains in terms of receptive and expressive vocabulary and sustained attention (Cooper et al., 2014).",verified,high,"The abstract states that mothers of infants 'aged between 14 and 16 months' were randomized to book-sharing training 'or a no-intervention control group', that carers reported 'a significantly greater increase in the number of words understood' and words the infant 'understood and could vocalize', and that 'Intervention group children also showed substantially greater gains on a measure of sustained attention'.",annotator3_B,2026-09-07,verified,"The abstract states that mothers of infants 'aged between 14 and 16 months' were randomized to book-sharing training 'or a no-intervention control group', that carers reported 'a significantly greater increase in the number of words understood' and words the infant 'understood and could vocalize', and that 'Intervention group children also showed substantially greater gains on a measure of sustained attention'."
annr-03,"In the Chau and Cheng (2010) study, teachers reported to understand what was expected from them in their traditional directive role, but they did not fully understand what was expected from them in their new facilitative role.",Towards understanding the potential of e-portfolios for independent learning: A qualitative study,10.14742/ajet.1026,"Chau & Cheng, 2010",No matching passage found in the cited paper (best overlap below threshold),needs_nuance,medium,"The paper supports only the second half, quoting a teacher that 'We need to define clearly the role of facilitator' and reading such remarks as 'a sense of uncertainty about the changing educational landscape'; it never reports that teachers understood what was expected of them in a traditional directive role, and the word 'directive' does not appear.",annotator3_B,2026-09-07,needs_nuance,"The paper supports only the second half, quoting a teacher that 'We need to define clearly the role of facilitator' and reading such remarks as 'a sense of uncertainty about the changing educational landscape'; it never reports that teachers understood what was expected of them in a traditional directive role, and the word 'directive' does not appear."
annr-04,"Furthermore, Rincon and Clavijo-Olarte (2016) extend this critique by emphasizing the importance of community engagement and the use of diverse communication modes, such as videos and songs, in constructing meaning around socio-cultural issues.",Fostering EFL learners´ literacies through local inquiry in a multimodal experience,10.14483/calj.v18n2.10610,"Rincon & Clavijo-Olarte, 2016","Students used videos, audios, images, and texts as multiple modes of communication to express their learning about the community issues.",verified,high,"The paper states that 'Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos, scripted voiceovers, music, and video clips', within an inquiry curriculum 'that explored community issues', covering both the community engagement and the videos-and-songs modes in the claim.",annotator3_B,2026-09-07,verified,"The paper states that 'Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos, scripted voiceovers, music, and video clips', within an inquiry curriculum 'that explored community issues', covering both the community engagement and the videos-and-songs modes in the claim."
annr-05,"In a study with 1,185 secondary school students (aged 11–17 years) in China, results from student self-evaluation questionnaires/surveys helped educators predict and improve student outcomes by providing interventional support (Chen et al., 2022).",Core self-evaluation and subjective wellbeing: A moderated mediation model,10.3389/fpubh.2022.1036071,"Chen et al., 2022","Guo et al. (34) took junior high school students as samples, indicating that core self-evaluation explained 15.1% of overall wellbeing, which can signiﬁcantly positively predict overall life satisfaction, positive emotions and overall wellbeing. In secondary vocational students, core self-evaluation was signiﬁcantly correlated with subjective wellbeing (p < 0.01), and could positively predict subjective wellbeing (β = 0.622, p < 0.01) (35).",needs_nuance,medium,"The sample detail matches ('a sample of 1,185 adolescents (11-17 years of age)' from 'nine different middle schools from Guizhou Province in China') and core self-evaluation 'contributed significantly to subjective wellbeing', but the paper is cross-sectional and only suggests that wellbeing 'can be promoted through interventions', so it does not support the claim that the results actually helped educators improve outcomes by providing interventional support.",annotator3_B,2026-09-07,needs_nuance,"The sample detail matches ('a sample of 1,185 adolescents (11-17 years of age)' from 'nine different middle schools from Guizhou Province in China') and core self-evaluation 'contributed significantly to subjective wellbeing', but the paper is cross-sectional and only suggests that wellbeing 'can be promoted through interventions', so it does not support the claim that the results actually helped educators improve outcomes by providing interventional support."
annr-06,"In their study, van der Heijden et al. (2018) found a positive relation between teacher agency and openness.",Understanding teachers as change agents: An investigation of primary school teachers’ self-perception,10.1007/s10833-018-9320-9,"Heijden et al., 2018",Based on our previous study (van der Heijden et al.,verified,medium,"The paper frames change agents as teachers who 'exercise their professional agency' and concludes that 'openness to experience appears to be an important personality factor for all change agent characteristics', reporting positive coefficients such as 'openness to experience (b = .427, p = .000)'.",annotator3_B,2026-09-07,verified,"The paper frames change agents as teachers who 'exercise their professional agency' and concludes that 'openness to experience appears to be an important personality factor for all change agent characteristics', reporting positive coefficients such as 'openness to experience (b = .427, p = .000)'."
annr-07,Amels et al. (2020) found job satisfaction to be an important motivational aspect that supports teacher optimism and resilience.,The effects of distributed leadership and inquiry-based work on primary teachers’ capacity to change: testing a model,10.1080/09243453.2020.1746363,"Amels et al., 2020",AMELS ET AL.,needs_nuance,medium,"The paper does place job satisfaction among the motivational aspects of the capacity to change ('motivational aspects (i.e., internalization of school goals as personal goals, sense of self-efficacy, and job satisfaction)'), but the words 'optimism' and 'resilience' never appear in it, so the attributed link to teacher optimism and resilience is not stated.",annotator3_B,2026-09-07,needs_nuance,"The paper does place job satisfaction among the motivational aspects of the capacity to change ('motivational aspects (i.e., internalization of school goals as personal goals, sense of self-efficacy, and job satisfaction)'), but the words 'optimism' and 'resilience' never appear in it, so the attributed link to teacher optimism and resilience is not stated."
annr-08,Hoth et al. (2022) found constructivist beliefs about mathematics teaching to be moderately correlated with noticing (r = 0.35).,Identifying and dealing with student errors in the mathematics classroom: Cognitive and motivational requirements,10.3389/fpsyg.2022.1057730,"Hoth et al., 2022",Keppens et al. (2021) found that teachers with strong constructivist beliefs are better at noticing aspects of inclusive classroom characteristics relating to differentiated instruction.,verified,medium,"Table 1 of the paper gives the correlation between Beliefs and PID_E as '0.35**', and the text says 'Constructivist beliefs regarding mathematics teaching are also positively correlated with ... their ability to analyze and deal with student errors and misconceptions (PID_E)', with PID skills defined 'in reference to work in the fields of teacher noticing'.",annotator3_B,2026-09-07,verified,"Table 1 of the paper gives the correlation between Beliefs and PID_E as '0.35**', and the text says 'Constructivist beliefs regarding mathematics teaching are also positively correlated with ... their ability to analyze and deal with student errors and misconceptions (PID_E)', with PID skills defined 'in reference to work in the fields of teacher noticing'."
annr-09,"In addition to the above, Salame and Makki (2021) opined that PhET simulations are safer, cleaner, more cost-efficient, flexible, and time efficient than conventional chemistry experiments.",Examining the Use of PhET Simulations on Students’ Attitudes and Learning in General Chemistry II,10.21601/ijese/10966,"Salame & Makki, 2021","I., & Makki, J. (2021). Examining the use of PhET simulations on students’ attitudes and learning in general chemistry II.",needs_nuance,medium,"The paper supports only parts of the list second-hand, reporting that 'PhET simulations are flexible tools used by educators' (Perkins et al., 2014) and that simulations offer the 'ability to save instructors time' and manipulation of variables 'without worrying about safety' (Blake and Scanlon, 2007); the words 'cleaner' and 'cost-efficient' do not appear, and cost is listed as a problem of traditional labs rather than an advantage claimed for PhET.",annotator3_B,2026-09-07,needs_nuance,"The paper supports only parts of the list second-hand, reporting that 'PhET simulations are flexible tools used by educators' (Perkins et al., 2014) and that simulations offer the 'ability to save instructors time' and manipulation of variables 'without worrying about safety' (Blake and Scanlon, 2007); the words 'cleaner' and 'cost-efficient' do not appear, and cost is listed as a problem of traditional labs rather than an advantage claimed for PhET."
annr-10,"For example, Poppitt and Frey (2007) emphasized that talking about emotional distress was not culturally acceptable among certain cultural groups.",Sudanese Adolescent Refugees: Acculturation and Acculturative Stress,10.1375/ajgc.17.2.160,"Poppitt & Frey, 2007","(2003), speaking of emotional distress is not culturally acceptable among southern Sudanese.",verified,medium,"The paper states, in its limitations, 'according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese', which supports the claim's weaker wording about certain cultural groups.",annotator3_B,2026-09-07,verified,"The paper states, in its limitations, 'according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese', which supports the claim's weaker wording about certain cultural groups."
