ann_id,item_id,claim_text,cited_paper_doi,evidence_mode,label_A,conf_A,note_A,label_B,conf_B,note_B,label_C,conf_C,note_C,majority_label,unanimous,construction_category,expected_label,needs_adjudication
ann-01,hss-no_full_text-02,The emergence of ChatGPT and AI tools will undeniably continue to impact change education in ways in which we cannot yet foresee.,10.55593/ej.27107int,withheld,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available"", so no verification is possible.",no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",no_full_text,True,no_full_text,no_full_text,False
ann-02,hss-no_full_text-04,An analysis of the values showed that all participants spent some time in the high anxiety zone and that most also had moments in the low anxiety zone.,10.14746/ssllt.2020.10.1.3,withheld,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available"", so no verification is possible.",no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",no_full_text,True,no_full_text,no_full_text,False
ann-03,hss-paraphrase-05,"Second most common strategy is classroom observation (n=17), followed by artifacts/documents (e.g., course syllabi, class handouts, learners‘ assignments, curricula vitae, lesson plans, and posts) (n=7), and focus group discussion (n=6).",10.55593/ej.26103a4,passage,verified,high,"Passage matches the claim on every figure, ""classroom observation (n=17)"", artifacts ""(n=7)"", focus group ""(n=6)""; only learners/students wording differs.",verified,high,"Paper reads 'classroom observation (n=17), followed by artifacts/documents ... (n=7), and focus group discussion (n=6)'; only 'students' becomes 'learners'.",verified,high,"Paper text reads ""Second most common strategy is classroom observation (n=17), followed by artifacts/documents"", matching the claim apart from students versus learners.",verified,True,paraphrase,verified,False
ann-04,hss-wrong_paper-03,"Finally, the last component of PsyCap, resilience, is to a great extent associated with persistence, active participation, and adaptation (Masten & Reed, 2002), and also the academic success of resilient individuals has been found inevitable.",10.32601/ejal.710194,no_match,unsupported,high,"Cited paper's cached text contains no occurrence of PsyCap, psychological capital, Masten, persistence, optimism or hope, so it does not address the claim.",unsupported,high,"Shirvan and Talebzadeh 2020 never mentions PsyCap, psychological capital, resilience as a construct, or Masten and Reed; the sole 'Resilient' hit is a reference-list title.",unsupported,high,"Searches of the cited paper return zero hits for PsyCap, psychological capital, resilience, Masten and academic success, so it does not address the claim.",unsupported,True,wrong_paper,unsupported,False
ann-05,hss-paraphrase-01,There are learners who simply do not know where their instructors stand (14%) as well as those who state that ChatGPT use has not been discussed in class (12%).,10.17323/jle.2023.17379,passage,verified,high,"Passage gives the same two figures as the claim, ""do not know where their instructors stand (14%)"" and not discussed in class ""(12%)"".",verified,high,Paper reads 'students who simply do not know where their instructors stand (14%)' and the 12% figure; only 'students' becomes 'learners'.,verified,high,"Passage reads ""There are students who simply do not know where their instructors stand (14%)"", identical to the claim apart from students versus learners.",verified,True,paraphrase,verified,False
ann-06,hss-altered-04,"Then, results showed that individuals’ who had lower levels of PsyCap had more levels of ideal L2-self and language learning experience, while no difference was found in their ought-to L2-self.",10.32601/ejal.651346,passage,unsupported,high,"Paper states ""individuals' who had higher levels of PsyCap had more levels of ideal L2-self"", the reverse of the claim's ""lower levels"".",unsupported,high,Paper reads 'individuals' who had higher levels of PsyCap had more levels of ideal L2-self'; the claim reverses higher to lower.,unsupported,high,"Paper says individuals with ""higher levels of PsyCap had more levels of ideal L2-self"", reversing the claim's ""lower levels of PsyCap"".",unsupported,True,altered,unsupported|needs_nuance,False
ann-07,hss-altered-05,"Attractor states are in fact the result of self-organization where the systems self-organize into less preferable states (Hiver, 2015; Juarrero, 1999).",10.32601/ejal.710194,passage,unsupported,high,"Paper says systems ""self-organize into more preferable states"", contradicting the claim's ""less preferable states"".",unsupported,high,"Paper reads 'the systems self-organize into more preferable states (Hiver, 2015; Juarrero, 1999)'; the claim reverses this to less preferable states.",unsupported,high,"Paper says systems ""self-organize into more preferable states"", the opposite of the claim's ""less preferable states"".",unsupported,True,altered,unsupported|needs_nuance,False
ann-08,hss-wrong_paper-04,"For example, prompt movements of body by some learners can signal enjoyment while, used by some others, they might indicate anxiety.",10.55593/ej.26103a4,no_match,unsupported,high,"Cited paper's cached text has zero hits for enjoyment, anxiety, movement, gesture or nonverbal, so it does not address body movements signalling emotion.",unsupported,high,"Kim and Weng 2022, a synthesis of teacher agency studies, contains no instance of 'enjoyment', 'anxiety', 'body movement' or 'gesture', so it does not address the claim.",unsupported,high,"The cited review contains no occurrence of enjoyment, anxiety, gestures or body movements, so it does not address the claim at all.",unsupported,True,wrong_paper,unsupported,False
ann-09,hss-paraphrase-02,"Because of this, researchers could utilize a holistic scale to evaluate whether or not intelligent writing assistants such as Grammarly can improve the overall quality of L2 writing in a future investigation.",10.29140/jaltcall.v17n2.336,passage,verified,high,"Passage is the claim verbatim apart from ""future study"" versus ""future investigation"", including ""utilize a holistic scale to evaluate"" Grammarly.",verified,high,Paper reads 'can improve the overall quality of L2 writing in a future study'; 'investigation' is a synonym substitution for 'study'.,verified,high,"Passage reads ""researchers could utilize a holistic scale to evaluate whether or not intelligent writing assistants such as Grammarly"", only study versus investigation differs.",verified,True,paraphrase,verified,False
ann-10,hss-verbatim-01,"Second, Matt and Joachim’s narratives suggest that Japanese socio-cultural environments can be restrictive or even dismissive of NESTs, resulting in ambivalence in their beliefs about their professional identities and competencies.",10.55593/ej.27105a9,passage,verified,high,"Passage is identical to the claim, including ""restrictive or even dismissive of NESTs, resulting in ambivalence in their beliefs"".",verified,high,"Paper contains the sentence verbatim: 'Japanese socio-cultural environments can be restrictive or even dismissive of NESTs, resulting in ambivalence'.",verified,high,"Passage is word for word the claim, including ""Japanese socio-cultural environments can be restrictive or even dismissive of NESTs"".",verified,True,verbatim,verified,False
