ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on,label,justification
ann-01,The use of several data collection tools yielding both quantitative and qualitative results allowed the researcher to identify fluctuations in boredom levels both in single classes and sequences of classes.,Potential sources of foreign language learning boredom: A Q methodology study,10.14746/ssllt.2022.12.1.3,"Kruk et al., 2022",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"The passage says 'No matching passage found in the cited paper' and a search of the cited Q methodology paper's cached text finds no 'data collection tools', 'fluctuations' or 'sequences of classes', so the citation does not address the claim.",annotator3_C,2026-09-07,unsupported,"The passage says 'No matching passage found in the cited paper' and a search of the cited Q methodology paper's cached text finds no 'data collection tools', 'fluctuations' or 'sequences of classes', so the citation does not address the claim."
ann-02,"Finally, the question asking for suggestions from the learners demonstrated many useful ideas which may help to improve the language education in Turkey.",Challenges of English Language Teaching in High Schools in Turkey and Possible Suggestions to Overcome Them,10.32601/ejal.543778,"Ayaz et al., 2019","Finally, the question asking for suggestions from the students revealed many useful ideas which may help to improve the language education in Turkey.",verified,high,"The paper reads 'the question asking for suggestions from the students revealed many useful ideas which may help to improve the language education in Turkey', which supports the claim with only the wording changes 'learners' and 'demonstrated'.",annotator3_C,2026-09-07,verified,"The paper reads 'the question asking for suggestions from the students revealed many useful ideas which may help to improve the language education in Turkey', which supports the claim with only the wording changes 'learners' and 'demonstrated'."
ann-03,This shows that participants who loaded significantly on Factor 1 felt that having an unsupportive teacher was a much less important source of boredom than others who shared the views that emerged in Factors 2 and 3.,Potential sources of foreign language learning boredom: A Q methodology study,10.14746/ssllt.2022.12.1.3,"Kruk et al., 2022",This shows that participants who loaded significantly on Factor 1 felt that having an unsupportive teacher was a much more important source of boredom than others who shared the views that emerged in Factors 2 and 3.,unsupported,high,"The paper says the Factor 1 participants felt an unsupportive teacher was a 'much more important source of boredom', which contradicts the claim's 'much less important'.",annotator3_C,2026-09-07,unsupported,"The paper says the Factor 1 participants felt an unsupportive teacher was a 'much more important source of boredom', which contradicts the claim's 'much less important'."
ann-04,The findings indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers.,Metadiscourse in academic writing: A comparison of research articles and book reviews,10.32601/ejal.710204,"Gezegin & Baş, 2020",The results indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers.,verified,high,"The passage states 'The results indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers', matching the claim apart from 'findings' for 'results'.",annotator3_C,2026-09-07,verified,"The passage states 'The results indicated significant differences across the groups on how writers constructed their authorial stance with interactional metadiscourse markers', matching the claim apart from 'findings' for 'results'."
ann-05,"The relationship between the superior colonizer and the inferior colonized promoted by colonialism is further consolidated by discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies.",Decolonizing English Language Teaching in Colombia: Epistemological Perspectives and Discursive Alternatives,10.14483/22487085.17087,"Parra, 2021","The relationship between the superior colonizer and the inferior colonized promoted by colonialism is further consolidated by discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies.",verified,high,"The passage repeats the claim word for word, including 'discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies'.",annotator3_C,2026-09-07,verified,"The passage repeats the claim word for word, including 'discriminating narratives and practices that segregate and minimize subjectivities, knowledges, and autonomies'."
ann-06,The highest percentage of participants taught in Ağrı (30.7%) followed by Giresun (23%).,Challenges of English Language Teaching in High Schools in Turkey and Possible Suggestions to Overcome Them,10.32601/ejal.543778,"Ayaz et al., 2019",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path, so the percentages cannot be checked.",annotator3_C,2026-09-07,no_full_text,"The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path, so the percentages cannot be checked."
ann-07,"Following decreased global mobility, there is high demand for teachers in SFI and there is an urgent need for the development of teacher education for this group.",Whole class interaction in the adult L2-classroom,10.17011/apples/urn.201903251959,"Wedin & Shaswar, 2019","Following increased global mobility, there is high demand for teachers in SFI and there is an urgent need for the development of teacher education for this group.",unsupported,high,"The paper says 'Following increased global mobility', the opposite of the claim's 'Following decreased global mobility'.",annotator3_C,2026-09-07,unsupported,"The paper says 'Following increased global mobility', the opposite of the claim's 'Following decreased global mobility'."
ann-08,The lower ratings given in session 4 tie in with a notable increase of weak points brought forward.,Adopting ChatGPT as a writing buddy in the advanced L2 writing class,10.29140/tltl.v6n1.1168,"Strobl et al., 2024",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,annotator3_C,2026-09-07,no_full_text,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.
ann-09,"Consequently, the inter-rater reliability was found 99%, which is above the satisfactory rate.","The effects of differentiated instruction on Turkish students’ L2 achievement, and student and teacher perceptions",10.32601/ejal.776002,"Yavuz, 2020","Consequently, the inter-rater reliability was found 90%, which is above the satisfactory rate.",unsupported,high,"The paper reports 'the inter-rater reliability was found 90%', contradicting the claim's '99%'.",annotator3_C,2026-09-07,unsupported,"The paper reports 'the inter-rater reliability was found 90%', contradicting the claim's '99%'."
ann-10,"Moreover, thanks to the information provided by the teacher throughout the interview, we know that ChatGPT was effective in helping the teacher design few teaching tasks for her classes of different ages and levels.",ChatGPT as an AI L2 teaching support: A case study of an EFL teacher,10.29140/tltl.v6n1.1142,"Octavio et al., 2024","Moreover, thanks to the information provided by the teacher throughout the interview, we know that ChatGPT was effective in helping the teacher design most teaching tasks for her classes of different ages and levels.",unsupported,high,"The paper says ChatGPT was effective in helping the teacher design 'most teaching tasks', which contradicts the claim's 'few teaching tasks'.",annotator3_C,2026-09-07,unsupported,"The paper says ChatGPT was effective in helping the teacher design 'most teaching tasks', which contradicts the claim's 'few teaching tasks'."
