ann_id,item_id,final_label,source,rationale,evidence_mode,construction_category,expected_label,agrees_with_construction,countersigned_by,countersigned_at
annr-01,real-test-12,verified,unanimous,"The cited paper's Principal Findings read ""The major findings demonstrated, first, that in-service teachers and school principals engaged in more knowledge-driven reasoning than pre-service teachers."" The stimulus matches as well: ""Participants viewed a set of photographs showing problem-solving situations in eighth grade mathematics education."" Both halves of the claim are stated by the paper, so the unanimous verified label stands.",passage,,,,,
annr-02,real-test-18,verified,unanimous,"The abstract reads ""Mothers of infants aged between 14 and 16 months were recruited and randomized to either eight weeks of manualized training in dialogic book-sharing or a no-intervention control group."" It reports ""a significantly greater increase in the number of words understood by their infants as well as a larger increase in the number of words that their infant understood and could vocalize"" and that ""Intervention group children also showed substantially greater gains on a measure of sustained attention"", which the conclusion calls ""focussed attention"". Every element of the claim is stated, so the unanimous verified label stands.",passage,,,,,
annr-03,real-test-05,needs_nuance,unanimous,"Retrieval showed no matching passage, so the item was judged from the paper's own text. The paper supports the second half of the claim only. It quotes a teacher saying ""We need to define clearly the role of facilitator, what kind of feedback because we’re not their subject teacher"" and reads such remarks as ""a sense of uncertainty about the changing educational landscape"". It nowhere reports that teachers said they understood what was expected of them in a traditional directive role; the older paradigm appears only in the phrase ""the move from a directed, positivist paradigm"". The unanimous needs_nuance label stands.",no_match,,,,,
annr-04,real-test-06,verified,unanimous,"The paper reads ""Students represented their understanding of social and cultural issues through slide presentations, song creations, stories, photo galleries, videos, scripted voiceovers, music, and video clips from the Internet to create their reflections"" and ""Students used videos, audios, images, and texts as multiple modes of communication to express their learning about the community issues."" The community engagement and the videos and songs are both stated, so the unanimous verified label stands.",passage,,,,,
annr-05,real-test-26,needs_nuance,unanimous,"The sample matches: ""A sample of 1,185 adolescents (11-17 years of age, 51.3% females)"" drawn from ""nine different middle schools from Guizhou Province in China"". The interventional part does not. The study is cross-sectional and its discussion only recommends: ""Based on the results, the following suggestions can be made: subjective wellbeing can be promoted through interventions such as enhancing adolescents’ core self-evaluation and helping them understand the meaning in life"". No educator used the questionnaire results to predict or improve student outcomes, so the claim adds an outcome the paper does not state and the unanimous needs_nuance label stands.",passage,,,,,
annr-06,real-test-01,verified,unanimous,"The paper defines its target group as ""skilled teachers who exercise their professional agency"", and its discussion reads ""In particular, openness to experience appears to be an important personality factor for all change agent characteristics, especially for being innovative at the classroom level and being focused on their own knowledge development."" The relation is positive in the results, for example ""openness to experience (b = .427, p = .000)"". The unanimous verified label stands.",passage,,,,,
annr-07,real-test-03,needs_nuance,unanimous,"The paper does place job satisfaction among the motivational determinants of the capacity to change: ""and motivational aspects (i.e., internalization of school goals as personal goals, sense of self-efficacy, and job satisfaction)"". The words optimism and resilience do not occur anywhere in the cached text, so the two outcomes the claim attributes to the paper are not stated in it. The unanimous needs_nuance label stands.",passage,,,,,
annr-08,real-test-11,verified,unanimous,"Table 1 of the paper gives the correlation between the beliefs scale and PID_E as 0.35, in the row ""PID_E 0.30** 0.26* 0.35** 1"". PID_E is the paper’s noticing measure, introduced ""in reference to work in the fields of teacher noticing (Sherin et al., 2011)"", and the text reads ""Constructivist beliefs regarding mathematics teaching are also positively correlated with teachers’ content-specific knowledge and their ability to analyze and deal with student errors and misconceptions (PID_E)."" The value, the direction and the construct match, so the unanimous verified label stands.",passage,,,,,
annr-09,real-test-23,needs_nuance,adjudicated,"Adjudicated: the sessions split two to one, needs_nuance against unsupported, so the item was decided from the cited paper’s cached text. Three of the five attributes in the claim are present in the paper, all of them reported second hand in its literature review: ""PhET simulations are flexible tools used by educators to achieve various educational goals"" and ""Some of the reported advantages of computer simulations use in laboratories include: ease of use, ability to save instructors time to be devoted to students learning instead of equipment set-up and student supervision, availability of large set of variables to test and manipulate without worrying about safety"". The words cleaner and cost-efficient do not occur anywhere in the cached text, and cost appears only as a problem of the traditional laboratory, in ""there are numerous problems that students can face with when working in a traditional laboratory setting which include equipment failure, cost, availability of space, safety, motivation, and interest"". The paper therefore supports a narrower version of the list rather than none of it, which is needs_nuance rather than unsupported.",passage,,,,,
annr-10,real-test-25,verified,unanimous,"The paper states the proposition in its own limitations discussion: ""Also, according to Bemak et al. (2003), speaking of emotional distress is not culturally acceptable among southern Sudanese."" The claim’s wording, certain cultural groups, is broader and weaker than the paper’s southern Sudanese, so nothing is overstated, although the paper relays the point from a secondary source rather than presenting it as its own finding. The unanimous verified label stands.",passage,,,,,
