ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on
ann-01,The emergence of ChatGPT and AI tools will undeniably continue to impact change education in ways in which we cannot yet foresee.,"Exploring Applications of ChatGPT to English Language Teaching: Opportunities, Challenges, and Recommendations",10.55593/ej.27107int,"Kostka & Toncelli, 2023",Evidence withheld: no passage or paper text is available for this item,,,,,
ann-02,An analysis of the values showed that all participants spent some time in the high anxiety zone and that most also had moments in the low anxiety zone.,Are foreign language learners’ enjoyment and anxiety specific to the teacher? An investigation into the dynamics of learners’ classroom emotions,10.14746/ssllt.2020.10.1.3,"Dewaele & Dewaele, 2020",Evidence withheld: no passage or paper text is available for this item,,,,,
ann-03,"Second most common strategy is classroom observation (n=17), followed by artifacts/documents (e.g., course syllabi, class handouts, learners‘ assignments, curricula vitae, lesson plans, and posts) (n=7), and focus group discussion (n=6).",A Systematic Review on Pedagogical Translanguaging in TESOL,10.55593/ej.26103a4,"Kim & Weng, 2022","Second most common strategy is classroom observation (n=17), followed by artifacts/documents (e.g., course syllabi, class handouts, students‘ assignments, curricula vitae, lesson plans, and posts) (n=7), and focus group discussion (n=6).",,,,,
ann-04,"Finally, the last component of PsyCap, resilience, is to a great extent associated with persistence, active participation, and adaptation (Masten & Reed, 2002), and also the academic success of resilient individuals has been found inevitable.",Tracing the signature dynamics of foreign language classroom anxiety and foreign language enjoyment: A retrodictive qualitative modeling,10.32601/ejal.710194,"SHİRVAN & TALEBZADEH, 2020",No matching passage found in the cited paper (best overlap below threshold),,,,,
ann-05,There are learners who simply do not know where their instructors stand (14%) as well as those who state that ChatGPT use has not been discussed in class (12%).,Writing with AI: University Students’ Use of ChatGPT,10.17323/jle.2023.17379,"Črček & Patekar, 2023",There are students who simply do not know where their instructors stand (14%) as well as those who state that ChatGPT use has not been discussed in class (12%).,,,,,
ann-06,"Then, results showed that individuals’ who had lower levels of PsyCap had more levels of ideal L2-self and language learning experience, while no difference was found in their ought-to L2-self.","The Role of Psychological Capital in Language Learners’ Willingness to Communicate, Motivation, and Achievement",10.32601/ejal.651346,"Khajavy et al., 2019","Then, results showed that individuals’ who had higher levels of PsyCap had more levels of ideal L2-self and language learning experience, while no difference was found in their ought-to L2-self.",,,,,
ann-07,"Attractor states are in fact the result of self-organization where the systems self-organize into less preferable states (Hiver, 2015; Juarrero, 1999).",Tracing the signature dynamics of foreign language classroom anxiety and foreign language enjoyment: A retrodictive qualitative modeling,10.32601/ejal.710194,"SHİRVAN & TALEBZADEH, 2020","Attractor states are in fact the result of self-organization where the systems self-organize into more preferable states (Hiver, 2015; Juarrero, 1999).",,,,,
ann-08,"For example, prompt movements of body by some learners can signal enjoyment while, used by some others, they might indicate anxiety.",A Systematic Review on Pedagogical Translanguaging in TESOL,10.55593/ej.26103a4,"Kim & Weng, 2022",No matching passage found in the cited paper (best overlap below threshold),,,,,
ann-09,"Because of this, researchers could utilize a holistic scale to evaluate whether or not intelligent writing assistants such as Grammarly can improve the overall quality of L2 writing in a future investigation.",Examining the impact of Grammarly on the quality of mobile L2 writing,10.29140/jaltcall.v17n2.336,"Dizon & Gayed, 2021","Because of this, researchers could utilize a holistic scale to evaluate whether or not intelligent writing assistants such as Grammarly can improve the overall quality of L2 writing in a future study.",,,,,
ann-10,"Second, Matt and Joachim’s narratives suggest that Japanese socio-cultural environments can be restrictive or even dismissive of NESTs, resulting in ambivalence in their beliefs about their professional identities and competencies.",Shifting from Native-Speakerism to Trans-Speakerism:  A Trioethnography of Language Teachers in Japan,10.55593/ej.27105a9,"Hiratsuka et al., 2023","Second, Matt and Joachim’s narratives suggest that Japanese socio-cultural environments can be restrictive or even dismissive of NESTs, resulting in ambivalence in their beliefs about their professional identities and competencies.",,,,,
